ForceDecks Raw Data Export,1.0
Weight,53.84
Frequency,500
Recording Date,2024-03-18T16:36:40
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 2)"
Analysis Date,2024-03-18T16:37:05
AthleteId,76ea55ee-bf21-4e4a-aacb-c4f8484e7d7c

Time,Left,Right
36.382,285.746753,252.331169
36.384,285.746753,251.331169
36.386,285.746753,251.331169
36.388,286.746753,251.331169
36.39,286.746753,251.331169
36.392,285.746753,250.331169
36.394,284.746753,252.331169
36.396,285.746753,251.331169
36.398,285.746753,251.331169
36.4,284.746753,251.331169
36.402,285.746753,250.331169
36.404,282.746753,250.331169
36.406,283.746753,250.331169
36.408,285.746753,251.331169
36.41,281.746753,249.331169
36.412,283.746753,250.331169
36.414,285.746753,252.331169
36.416,285.746753,250.331169
36.418,284.746753,253.331169
36.42,284.746753,252.331169
36.422,285.746753,249.331169
36.424,283.746753,252.331169
36.426,282.746753,251.331169
36.428,281.746753,249.331169
36.43,282.746753,250.331169
36.432,282.746753,249.331169
36.434,282.746753,252.331169
36.436,280.746753,250.331169
36.438,281.746753,249.331169
36.44,280.746753,250.331169
36.442,283.746753,250.331169
36.444,278.746753,251.331169
36.446,283.746753,250.331169
36.448,281.746753,248.331169
36.45,280.746753,249.331169
36.452,282.746753,246.331169
36.454,280.746753,248.331169
36.456,280.746753,248.331169
36.458,278.746753,247.331169
36.46,278.746753,247.331169
36.462,281.746753,247.331169
36.464,281.746753,247.331169
36.466,280.746753,248.331169
36.468,282.746753,248.331169
36.47,282.746753,246.331169
36.472,281.746753,248.331169
36.474,279.746753,245.331169
36.476,281.746753,247.331169
36.478,281.746753,246.331169
36.48,280.746753,248.331169
36.482,280.746753,246.331169
36.484,279.746753,248.331169
36.486,280.746753,246.331169
36.488,280.746753,247.331169
36.49,281.746753,248.331169
36.492,278.746753,246.331169
36.494,280.746753,246.331169
36.496,279.746753,246.331169
36.498,282.746753,245.331169
36.5,279.746753,249.331169
36.502,279.746753,247.331169
36.504,282.746753,247.331169
36.506,280.746753,247.331169
36.508,280.746753,246.331169
36.51,280.746753,248.331169
36.512,281.746753,247.331169
36.514,281.746753,247.331169
36.516,280.746753,246.331169
36.518,282.746753,245.331169
36.52,280.746753,246.331169
36.522,281.746753,245.331169
36.524,281.746753,247.331169
36.526,280.746753,247.331169
36.528,282.746753,246.331169
36.53,280.746753,247.331169
36.532,281.746753,248.331169
36.534,282.746753,246.331169
36.536,283.746753,247.331169
36.538,282.746753,245.331169
36.54,279.746753,246.331169
36.542,280.746753,245.331169
36.544,281.746753,248.331169
36.546,281.746753,245.331169
36.548,280.746753,249.331169
36.55,281.746753,248.331169
36.552,280.746753,245.331169
36.554,282.746753,247.331169
36.556,279.746753,247.331169
36.558,281.746753,246.331169
36.56,279.746753,246.331169
36.562,279.746753,248.331169
36.564,280.746753,245.331169
36.566,281.746753,245.331169
36.568,278.746753,245.331169
36.57,281.746753,244.331169
36.572,281.746753,244.331169
36.574,278.746753,244.331169
36.576,279.746753,247.331169
36.578,280.746753,247.331169
36.58,279.746753,246.331169
36.582,277.746753,246.331169
36.584,277.746753,248.331169
36.586,279.746753,244.331169
36.588,277.746753,247.331169
36.59,276.746753,244.331169
36.592,276.746753,245.331169
36.594,278.746753,248.331169
36.596,274.746753,246.331169
36.598,275.746753,246.331169
36.6,275.746753,248.331169
36.602,275.746753,245.331169
36.604,275.746753,248.331169
36.606,276.746753,246.331169
36.608,276.746753,249.331169
36.61,275.746753,248.331169
36.612,275.746753,247.331169
36.614,276.746753,246.331169
36.616,276.746753,248.331169
36.618,275.746753,249.331169
36.62,276.746753,248.331169
36.622,274.746753,248.331169
36.624,277.746753,248.331169
36.626,277.746753,246.331169
36.628,272.746753,247.331169
36.63,274.746753,249.331169
36.632,276.746753,246.331169
36.634,275.746753,248.331169
36.636,275.746753,247.331169
36.638,275.746753,247.331169
36.64,275.746753,246.331169
36.642,278.746753,249.331169
36.644,277.746753,247.331169
36.646,276.746753,248.331169
36.648,275.746753,248.331169
36.65,277.746753,249.331169
36.652,278.746753,249.331169
36.654,275.746753,250.331169
36.656,277.746753,250.331169
36.658,276.746753,249.331169
36.66,276.746753,250.331169
36.662,274.746753,249.331169
36.664,276.746753,251.331169
36.666,275.746753,249.331169
36.668,275.746753,251.331169
36.67,275.746753,249.331169
36.672,277.746753,249.331169
36.674,276.746753,247.331169
36.676,272.746753,251.331169
36.678,277.746753,248.331169
36.68,277.746753,253.331169
36.682,276.746753,249.331169
36.684,276.746753,248.331169
36.686,276.746753,250.331169
36.688,276.746753,249.331169
36.69,277.746753,251.331169
36.692,276.746753,251.331169
36.694,277.746753,251.331169
36.696,278.746753,251.331169
36.698,279.746753,250.331169
36.7,279.746753,254.331169
36.702,276.746753,250.331169
36.704,280.746753,250.331169
36.706,282.746753,251.331169
36.708,281.746753,252.331169
36.71,280.746753,250.331169
36.712,279.746753,252.331169
36.714,279.746753,252.331169
36.716,281.746753,254.331169
36.718,281.746753,254.331169
36.72,280.746753,254.331169
36.722,280.746753,254.331169
36.724,281.746753,254.331169
36.726,280.746753,251.331169
36.728,279.746753,253.331169
36.73,282.746753,256.331169
36.732,281.746753,252.331169
36.734,279.746753,253.331169
36.736,279.746753,253.331169
36.738,280.746753,255.331169
36.74,282.746753,254.331169
36.742,281.746753,254.331169
36.744,280.746753,255.331169
36.746,281.746753,255.331169
36.748,280.746753,255.331169
36.75,281.746753,253.331169
36.752,278.746753,253.331169
36.754,279.746753,253.331169
36.756,278.746753,255.331169
36.758,280.746753,255.331169
36.76,279.746753,253.331169
36.762,279.746753,254.331169
36.764,280.746753,255.331169
36.766,281.746753,254.331169
36.768,281.746753,255.331169
36.77,283.746753,254.331169
36.772,281.746753,252.331169
36.774,281.746753,251.331169
36.776,280.746753,253.331169
36.778,282.746753,252.331169
36.78,284.746753,253.331169
36.782,283.746753,251.331169
36.784,283.746753,255.331169
36.786,283.746753,251.331169
36.788,282.746753,253.331169
36.79,283.746753,251.331169
36.792,282.746753,254.331169
36.794,283.746753,252.331169
36.796,284.746753,252.331169
36.798,285.746753,255.331169
36.8,282.746753,250.331169
36.802,283.746753,255.331169
36.804,281.746753,253.331169
