ForceDecks Raw Data Export,1.0
Weight,84.54
Frequency,500
Recording Date,2024-03-11T15:40:01
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 4)"
Analysis Date,2024-03-11T15:40:27
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Left,Right
60.592,0.317413,0.842786
60.594,-0.682587,0.842786
60.596,0.317413,2.842786
60.598,0.317413,2.842786
60.6,0.317413,2.842786
60.602,-0.682587,0.842786
60.604,0.317413,0.842786
60.606,1.317413,0.842786
60.608,1.317413,0.842786
60.61,-0.682587,1.842786
60.612,0.317413,-1.157214
60.614,-1.682587,2.842786
60.616,0.317413,1.842786
60.618,-1.682587,0.842786
60.62,-0.682587,1.842786
60.622,-0.682587,-0.157214
60.624,1.317413,1.842786
60.626,0.317413,-0.157214
60.628,0.317413,0.842786
60.63,0.317413,1.842786
60.632,-1.682587,1.842786
60.634,0.317413,1.842786
60.636,-0.682587,0.842786
60.638,0.317413,1.842786
60.64,1.317413,1.842786
60.642,0.317413,0.842786
60.644,1.317413,1.842786
60.646,1.317413,0.842786
60.648,0.317413,-1.157214
60.65,0.317413,2.842786
60.652,-0.682587,0.842786
60.654,0.317413,1.842786
60.656,-0.682587,0.842786
60.658,1.317413,0.842786
60.66,2.317413,0.842786
60.662,0.317413,1.842786
60.664,1.317413,1.842786
60.666,-0.682587,1.842786
60.668,-0.682587,1.842786
60.67,1.317413,36.842786
60.672,-5.682587,764.842786
60.674,-32.682587,1517.842786
60.676,106.317413,2596.842786
60.678,557.317413,3346.842786
60.68,1386.317413,3582.842786
60.682,2109.317413,3152.842786
60.684,2916.317413,2535.842786
60.686,2819.317413,2069.842786
60.688,2508.317413,1611.842786
60.69,1982.317413,1444.842786
60.692,1703.317413,1254.842786
60.694,1402.317413,1103.842786
60.696,1254.317413,925.842786
60.698,997.317413,865.842786
60.7,800.317413,817.842786
60.702,656.317413,771.842786
60.704,513.317413,695.842786
60.706,418.317413,606.842786
60.708,408.317413,549.842786
60.71,453.317413,510.842786
60.712,476.317413,472.842786
60.714,436.317413,447.842786
60.716,372.317413,423.842786
60.718,306.317413,424.842786
60.72,249.317413,453.842786
