ForceDecks Raw Data Export,1.0
Weight,83.54
Frequency,500
Recording Date,2024-03-05T15:53:41
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 3)"
Analysis Date,2024-03-05T15:53:57
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Left,Right,,Acceleration,Velocity,Height,Power,Impulse
32.628,407.831169,408.491651,,0,0,0,0,0
32.63,409.831169,408.491651,,0,0,0,0,0
32.632,409.831169,409.491651,,0,0,0,0,0
32.634,408.831169,407.491651,,0,0,0,0,0
32.636,407.831169,408.491651,,0,0,0,0,0
32.638,409.831169,409.491651,,0,0,0,0,0
32.64,409.831169,408.491651,,0,0,0,0,0
32.642,411.831169,409.491651,,0,0,0,0,0
32.644,408.831169,409.491651,,0,0,0,0,0
32.646,409.831169,412.491651,,0,0,0,0,0
32.648,411.831169,410.491651,,0,0,0,0,0
32.65,411.831169,409.491651,,0,0,0,0,0
32.652,410.831169,410.491651,,0,0,0,0,0
32.654,410.831169,411.491651,,0,0,0,0,0
32.656,411.831169,410.491651,,0,0,0,0,0
32.658,414.831169,409.491651,,0,0,0,0,0
32.66,413.831169,410.491651,,0,0,0,0,0
32.662,417.831169,410.491651,,0,0,0,0,0
32.664,416.831169,410.491651,,0,0,0,0,0
32.666,415.831169,412.491651,,0,0,0,0,0
32.668,416.831169,411.491651,,0,0,0,0,0
32.67,419.831169,410.491651,,0,0,0,0,0
32.672,420.831169,410.491651,,0,0,0,0,0
32.674,420.831169,410.491651,,0,0,0,0,0
32.676,421.831169,408.491651,,0,0,0,0,0
32.678,421.831169,408.491651,,0,0,0,0,0
32.68,425.831169,410.491651,,0,0,0,0,0
32.682,423.831169,409.491651,,0,0,0,0,0
32.684,423.831169,407.491651,,0,0,0,0,0
32.686,424.831169,407.491651,,0,0,0,0,0
32.688,427.831169,408.491651,,0,0,0,0,0
32.69,426.831169,405.491651,,0,0,0,0,0
32.692,426.831169,404.491651,,0,0,0,0,0
32.694,428.831169,407.491651,,0,0,0,0,0
32.696,429.831169,404.491651,,0,0,0,0,0
32.698,429.831169,405.491651,,0,0,0,0,0
32.7,430.831169,404.491651,,0,0,0,0,0
32.702,431.831169,404.491651,,0,0,0,0,0
32.704,434.831169,404.491651,,0,0,0,0,0
32.706,435.831169,404.491651,,0,0,0,0,0
32.708,432.831169,404.491651,,0,0,0,0,0
32.71,431.831169,405.491651,,0,0,0,0,0
32.712,434.831169,403.491651,,0,0,0,0,0
32.714,433.831169,402.491651,,0,0,0,0,0
32.716,435.831169,403.491651,,0,0,0,0,0
32.718,433.831169,401.491651,,0,0,0,0,0
32.72,433.831169,402.491651,,0,0,0,0,0
32.722,430.831169,403.491651,,0,0,0,0,0
32.724,432.831169,402.491651,,0,0,0,0,0
32.726,432.831169,401.491651,,0,0,0,0,0
32.728,430.831169,400.491651,,0,0,0,0,0
32.73,427.831169,404.491651,,0,0,0,0,0
32.732,428.831169,403.491651,,0,0,0,0,0
32.734,427.831169,402.491651,,0,0,0,0,0
32.736,427.831169,403.491651,,0,0,0,0,0
32.738,427.831169,403.491651,,0,0,0,0,0
32.74,425.831169,406.491651,,0,0,0,0,0
32.742,423.831169,405.491651,,0,0,0,0,0
32.744,425.831169,406.491651,,0,0,0,0,0
32.746,423.831169,405.491651,,0,0,0,0,0
32.748,423.831169,407.491651,,0,0,0,0,0
32.75,421.831169,408.491651,,0,0,0,0,0
32.752,421.831169,409.491651,,0,0,0,0,0
32.754,419.831169,410.491651,,0,0,0,0,0
32.756,416.831169,414.491651,,0,0,0,0,0
32.758,417.831169,413.491651,,0,0,0,0,0
32.76,418.831169,416.491651,,0,0,0,0,0
32.762,415.831169,416.491651,,0,0,0,0,0
32.764,415.831169,420.491651,,0,0,0,0,0
32.766,415.831169,419.491651,,0,0,0,0,0
32.768,412.831169,418.491651,,0,0,0,0,0
32.77,412.831169,420.491651,,0,0,0,0,0
32.772,410.831169,420.491651,,0,0,0,0,0
32.774,409.831169,421.491651,,0,0,0,0,0
32.776,409.831169,423.491651,,0,0,0,0,0
32.778,408.831169,420.491651,,0,0,0,0,0
32.78,409.831169,421.491651,,0,0,0,0,0
32.782,406.831169,420.491651,,0,0,0,0,0
32.784,407.831169,421.491651,,0,0,0,0,0
32.786,404.831169,419.491651,,0,0,0,0,0
32.788,402.831169,419.491651,,0,0,0,0,0
32.79,400.831169,416.491651,,0,0,0,0,0
32.792,398.831169,416.491651,,0,0,0,0,0
32.794,396.831169,417.491651,,0,0,0,0,0
32.796,395.831169,417.491651,,0,0,0,0,0
32.798,393.831169,414.491651,,0,0,0,0,0
32.8,393.831169,411.491651,,0,0,0,0,0
32.802,392.831169,411.491651,,0,0,0,0,0
32.804,389.831169,412.491651,,0,0,0,0,0
32.806,389.831169,410.491651,,-0.22653,0,0,0,0
32.808,383.831169,408.491651,,-0.3223,-0.00055,0,0.43485,-0.04585
32.81,380.831169,405.491651,,-0.39412,-0.00127,0,0.99489,-0.1057
32.812,377.831169,404.491651,,-0.442,-0.0021,-1E-05,1.64395,-0.17555
32.814,375.831169,404.491651,,-0.46594,-0.00301,-1E-05,2.34823,-0.2514
32.816,370.831169,404.491651,,-0.52579,-0.004,-2E-05,3.1021,-0.33425
32.818,371.831169,402.491651,,-0.53776,-0.00506,-3E-05,3.92164,-0.4231
32.82,365.831169,402.491651,,-0.60958,-0.00621,-4E-05,4.77278,-0.51895
32.822,362.831169,401.491651,,-0.65747,-0.00748,-5E-05,5.71637,-0.6248
32.824,359.831169,402.491651,,-0.68141,-0.00882,-7E-05,6.72206,-0.73664
32.826,359.831169,399.491651,,-0.71732,-0.01022,-9E-05,7.75769,-0.85349
32.828,353.831169,399.491651,,-0.78914,-0.01172,-0.00011,8.83124,-0.97934
32.83,351.831169,397.491651,,-0.83702,-0.01335,-0.00013,10.00287,-1.11519
32.832,351.831169,398.491651,,-0.82505,-0.01501,-0.00016,11.26331,-1.25404
32.834,347.831169,397.491651,,-0.8849,-0.01672,-0.00019,12.46272,-1.39689
32.836,346.831169,395.491651,,-0.92081,-0.01853,-0.00023,13.75298,-1.54774
32.838,345.831169,395.491651,,-0.93278,-0.02038,-0.00027,15.10857,-1.70259
32.84,344.831169,396.491651,,-0.93278,-0.02225,-0.00031,16.49155,-1.85844
32.842,341.831169,394.491651,,-0.99263,-0.02417,-0.00036,17.79805,-2.01929
32.844,340.831169,392.491651,,-1.02855,-0.02619,-0.00041,19.20772,-2.18814
32.846,337.831169,393.491651,,-1.05249,-0.02827,-0.00046,20.67724,-2.36199
32.848,334.831169,391.491651,,-1.11234,-0.03044,-0.00052,22.10823,-2.54284
32.85,333.831169,390.491651,,-1.13628,-0.03269,-0.00058,23.67608,-2.73069
32.852,333.831169,390.491651,,-1.13628,-0.03496,-0.00065,25.32214,-2.92054
32.854,330.831169,389.491651,,-1.18416,-0.03728,-0.00072,26.85377,-3.11439
32.856,329.831169,386.491651,,-1.23204,-0.0397,-0.0008,28.43543,-3.31624
32.858,329.831169,383.491651,,-1.26795,-0.0422,-0.00088,30.09964,-3.52509
32.86,326.831169,385.491651,,-1.27992,-0.04474,-0.00097,31.87235,-3.73793
32.862,325.831169,384.491651,,-1.30386,-0.04733,-0.00106,33.61819,-3.95378
32.864,320.831169,381.491651,,-1.39963,-0.05003,-0.00116,35.13828,-4.17963
32.866,318.831169,378.491651,,-1.45948,-0.05289,-0.00126,36.88184,-4.41848
32.868,315.831169,377.491651,,-1.50736,-0.05586,-0.00137,38.72726,-4.66633
32.87,311.831169,372.491651,,-1.61509,-0.05898,-0.00149,40.3613,-4.92718
32.872,308.831169,371.491651,,-1.66297,-0.06226,-0.00161,42.35552,-5.20103
32.874,305.831169,369.491651,,-1.72282,-0.06564,-0.00173,44.33074,-5.48388
32.876,300.831169,364.491651,,-1.84253,-0.06921,-0.00187,46.04641,-5.78173
32.878,297.831169,361.491651,,-1.91435,-0.07297,-0.00201,48.10815,-6.09558
